name,layer,kind,independently_selectable,install_or_access_method,in_current_installer_gui,source_url,notes
crons,Convex plugin bundled capability,Skill,no,Bundled with Convex for Claude Code,no,https://github.com/get-convex/convex-backend-skill,"Set up recurring scheduled jobs on Convex for tasks such as digests, cleanups, polling, and retries. Optional components: []"
design,Convex plugin bundled capability,Skill,no,Bundled with Convex for Claude Code,no,https://github.com/get-convex/convex-backend-skill,"Design and build reactive, type-safe, production-grade backends on Convex. Optional components: [""@convex-dev/aggregate"", ""@convex-dev/agent"", ""@convex-dev/rag"", ""@convex-dev/workflow"", ""@convex-dev/rate-limiter"", ""@convex-dev/migrations"", ""@convex-dev/workpool"", ""@convex-dev/auth""]"
domains,Convex plugin bundled capability,Skill,no,Bundled with Convex for Claude Code,no,https://github.com/get-convex/convex-backend-skill,"Connect an existing domain to a Convex application by providing DNS records and configuring authentication rebinding. Optional components: [""GoDaddy"", ""Namecheap"", ""Cloudflare""]"
env,Convex plugin bundled capability,Skill,no,Bundled with Convex for Claude Code,no,https://github.com/get-convex/convex-backend-skill,"Sets and wires deployment environment variables and secrets for a Convex app, storing them in the Convex environment for secure access in actions. Optional components: []"
improve-convex-plugin,Convex plugin bundled capability,Skill,no,Bundled with Convex for Claude Code,no,https://github.com/get-convex/convex-backend-skill,"Sends the current coding session's transcript to the Convex quickstart backend for an AI post-mortem to improve the system's runbook, bootstrap script, and skills. Optional components: []"
labs-quickstart,Convex plugin bundled capability,Skill,no,Bundled with Convex for Claude Code,no,https://github.com/get-convex/convex-backend-skill,"Scaffolds a Next.js application with a Convex backend, passkey authentication, and an integrated feedback panel for a complete development-to-deployment experience. Optional components: [""@convex-dev/auth"", ""next"", ""shadcn-ui""]"
migrate,Convex plugin bundled capability,Skill,no,Bundled with Convex for Claude Code,no,https://github.com/get-convex/convex-backend-skill,"Safely migrate the schema and backfill data on a deployed Convex app using the @convex-dev/migrations package. Optional components: [""@convex-dev/migrations""]"
quickstart,Convex plugin bundled capability,Skill,no,Bundled with Convex for Claude Code,no,https://github.com/get-convex/convex-backend-skill,Scaffold and build a running Next.js and shadcn app backed by Convex from a one-sentence idea. Optional components: []
seed,Convex plugin bundled capability,Skill,no,Bundled with Convex for Claude Code,no,https://github.com/get-convex/convex-backend-skill,Seeds the Convex database with starter data or imports existing datasets while maintaining idempotency and schema compliance. Optional components: []
suggest,Convex plugin bundled capability,Skill,no,Bundled with Convex for Claude Code,no,https://github.com/get-convex/convex-backend-skill,"Proactively suggest the right Convex component when a user's code or intent duplicates existing Convex components or built-in features. Optional components: [""@convex-dev/crons"", ""@convex-dev/sharded-counter"", ""@convex-dev/aggregate"", ""resend"", ""@convex-dev/rate-limiter"", ""@convex-dev/presence"", ""@convex-dev/workflow"", ""@convex-dev/rag"", ""@convex-dev/prosemirror-sync"", ""expo-push"", ""@convex-dev/workpool""]"
test,Convex plugin bundled capability,Skill,no,Bundled with Convex for Claude Code,no,https://github.com/get-convex/convex-backend-skill,"Generate tests for Convex functions with convex-test using an in-memory backend to verify queries, mutations, authentication, and scheduling. Optional components: [""convex-test"", ""vitest""]"
convex-expert,Convex plugin bundled capability,Subagent,no,Bundled with Convex for Claude Code,no,https://github.com/get-convex/convex-backend-skill,Convex code-writing specialist.
convex-reviewer,Convex plugin bundled capability,Subagent,no,Bundled with Convex for Claude Code,no,https://github.com/get-convex/convex-backend-skill,Convex code-review specialist.
Convex MCP server,Convex plugin bundled capability,MCP server,no,Bundled with Convex for Claude Code,no,https://github.com/get-convex/convex-backend-skill,Live deployment introspection via npx convex mcp start.
Lint-on-save,Convex plugin bundled capability,Hook,no,Bundled with Convex for Claude Code,no,https://github.com/get-convex/convex-backend-skill,PreToolUse validation for Convex anti-patterns and validators.
End-of-turn verify,Convex plugin bundled capability,Hook,no,Bundled with Convex for Claude Code,no,https://github.com/get-convex/convex-backend-skill,"Stop hook that runs codegen and type checks, with a timeout guard."
Runtime-error monitor,Convex plugin bundled capability,Monitor,no,Bundled with Convex for Claude Code,no,https://github.com/get-convex/convex-backend-skill,Surfaces matched Convex runtime errors.
OCC / insights monitor,Convex plugin bundled capability,Monitor,no,Bundled with Convex for Claude Code,no,https://github.com/get-convex/convex-backend-skill,Checks for new OCC conflicts and read-limit insights.
Feature-request monitor,Convex plugin bundled capability,Monitor,no,Bundled with Convex for Claude Code,no,https://github.com/get-convex/convex-backend-skill,Watches a quickstart build for pending feature requests.
convex-orchestrator,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/akshatgiri/convex-orchestrator,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Browserbase Stagehand,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/stagehand,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
AI Agent,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/agent,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
DatabaseChat,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/dayhaysoos/convex-database-chat,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Exa,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/exalabs/convex-exa,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
firecrawl,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/firecrawl/firecrawl-convex,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
SiteGPT,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/sitegpt/convex,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Browser Use,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/browser-use,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Durable Agents,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/durable-agents,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
convex-elevenlabs,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-elevenlabs,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
eve,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-eve,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Firecrawl Scrape,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/firecrawl-scrape,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
convex-jina,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-jina,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Neutral Cost,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/neutralcost,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
ActionLayer - the power to do everything,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/actionlayer/convex,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Context.dev,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/context-dot-dev/convex,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Persistent Text Streaming,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/persistent-text-streaming,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
RAG,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/rag,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Fystash,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/fystash/convex,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
LLM Cache,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/mzedstudio/llm-cache,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Tavily,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/tavily/convex-tavily,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Agent Ready,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/waynesutton/agent-ready,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Convex Evalbench,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-evalbench,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Convex MCP Gateway,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-mcp-gateway,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Nano Banana,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-nano-banana,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Liner,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/liner-convex,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
convex-api-keys,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/00akshatsinha00/convex-api-keys,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
oauth-provider,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/codefox-inc/oauth-provider,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Better Auth,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/better-auth,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
WorkOS AuthKit,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/workos-authkit,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
convex-authz,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/djpanda/convex-authz,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
convex-tenants,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/djpanda/convex-tenants,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Kinde Sync,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/sholajegede/kinde-sync,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
API Keys,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/vllnt/convex-api-keys,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Memberships,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/vllnt/convex-memberships,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Permissions (RBAC),Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/vllnt/convex-permissions,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Secret Tokens,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/vllnt/convex-tokens,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Convex Api Keys,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-api-keys,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
API Tokens,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-api-tokens,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Invite,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-invite,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Convex Invite-links,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-invite-links,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Convex Passkey-auth,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-passkey-auth,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Convex Checkpoints,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/abdssamie/convex-checkpoints,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Action Cache,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/action-cache,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Rate Limiter,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/rate-limiter,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Convex Debouncer,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/ikhrustalev/convex-debouncer,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Link-Shortener,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/the_shujaa/link-shortener,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Analytics,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/vllnt/convex-analytics,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Consent Ledger,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/vllnt/convex-consent,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Event Ledger,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/vllnt/convex-events,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
A/B Experiments,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/vllnt/convex-experiments,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Feature Flags,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/vllnt/convex-flags,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Slug Registry,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/vllnt/convex-slugs,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Feedback,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-feedback,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
convex-mq,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-mq,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Timeline,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-timeline,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Tracer,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-tracer,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Webhook Receiver,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-webhook-receiver,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Webhook Sender,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-webhook-sender,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
WhatsApp Cloud API,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-whatsapp,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Presence,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/presence,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Collaborative Text Editor Sync,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/prosemirror-sync,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Convex Comments ,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/hamzasaleem2/convex-comments,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Comments,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/vllnt/convex-comments,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Invitations,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/vllnt/convex-invitations,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Reactions,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/vllnt/convex-reactions,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Multiplayer Cursors,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-multiplayer-cursors,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Unread Tracking,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-unread-tracking,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Cascading Delete,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/00akshatsinha00/convex-cascading-delete,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Aggregate,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/aggregate,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Geospatial,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/geospatial,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Migrations,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/migrations,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Sharded Counter,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/sharded-counter,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
ClickHouse,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/devwithbobby/clickhouse,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
convex-kv,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/hamzasaleemorg/convex-kv,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Cascading Deletes,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/sholajegede/convex-cascading-deletes,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Convex Audit Log,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-audit-log,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Conflict Free Counter,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-conflict-free-counter,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
smart-tags,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-smart-tags,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Action Retrier,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/retrier,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Batch Worker,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/batch-worker,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Crons,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/crons,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Workflow,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/workflow,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Workpool,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/workpool,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
QuiCK,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/danthegoodman/quick-convex,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Idempotency Keys,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/vllnt/convex-idempotency,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Batch Processor,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/convex-batch-processor,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Convex Analytics,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/abdssamie/convex-analytics,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Wearables,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/clipin/convex-wearables,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
LaunchDarkly Feature Flags,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/launchdarkly,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Static-Hosting,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/static-hosting,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Loops,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/devwithbobby/loops,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
OSS Stats,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/oss-stats,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Affiliate Tracking,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/ezyyeah/affiliate-tracking,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
Cloudflare Email Sending,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/ezyyeah/cloudflare-email-sending,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
convex-inbound,Convex Components Directory,Convex component,yes,Install package shown on the component detail page,no,https://www.convex.dev/components/hamzasaleemorg/convex-inbound,"Live directory entry. Treat as a backend component choice, not a Claude Code plugin."
